Date,GGAL,MELI,SPY,YPF
2023-06-20,14.555365562438965,1197.739990234375,421.1785583496094,14.539999961853027
2023-06-21,15.107026100158691,1210.9000244140625,419.0205993652344,15.449999809265137
2023-06-22,14.003702163696289,1241.510009765625,420.53314208984375,14.729999542236328
2023-06-23,14.24134349822998,1226.489990234375,417.3539123535156,14.789999961853027
2023-06-26,14.911825180053711,1155.510009765625,415.6486511230469,15.399999618530273
2023-06-27,14.232857704162598,1162.0899658203125,420.20550537109375,14.989999771118164
2023-06-28,14.317726135253906,1207.68994140625,420.4175109863281,14.770000457763672
2023-06-29,14.63174819946289,1171.449951171875,422.0745544433594,15.1899995803833
2023-06-30,14.597803115844727,1184.5999755859375,427.05535888671875,14.890000343322754
2023-07-03,14.691160202026367,1193.75,427.5467529296875,14.890000343322754
2023-07-05,14.80148983001709,1247.3599853515625,426.9108581542969,15.149999618530273
2023-07-06,13.672706604003906,1153.5899658203125,423.56787109375,14.050000190734863
2023-07-07,14.080087661743164,1153.8199462890625,422.4984130859375,14.369999885559082
2023-07-10,13.832257270812988,1087.1500244140625,423.56787109375,14.510000228881836
2023-07-11,14.003767967224121,1121.5799560546875,426.2653503417969,14.420000076293945
2023-07-12,14.321061134338379,1141.1300048828125,429.6949768066406,14.9399995803833
2023-07-13,14.895618438720703,1146.719970703125,433.1054992675781,15.170000076293945
2023-07-14,13.960891723632812,1135.719970703125,432.83575439453125,14.479999542236328
2023-07-17,14.724105834960938,1179.1700439453125,434.3385925292969,15.239999771118164
2023-07-18,14.94706916809082,1208.6600341796875,437.5660400390625,15.479999542236328
2023-07-19,14.664078712463379,1225.75,438.5390625,15.350000381469727
2023-07-20,14.921344757080078,1198.3399658203125,435.6295471191406,15.25
2023-07-21,15.307242393493652,1221.030029296875,435.6295471191406,15.460000038146973
2023-07-24,14.904193878173828,1198.4300537109375,437.57568359375,15.630000114440918
2023-07-25,15.161458015441895,1181.8399658203125,438.7702331542969,15.630000114440918
2023-07-26,15.230062484741211,1176.22998046875,438.83770751953125,15.399999618530273
2023-07-27,14.166701316833496,1169.9000244140625,435.9281921386719,14.350000381469727
2023-07-28,14.479323387145996,1225.02001953125,440.1960754394531,14.59000015258789
2023-07-31,14.678500175476074,1238.050048828125,441.0343017578125,14.890000343322754
2023-08-01,14.193546295166016,1210.4000244140625,439.7721862792969,14.680000305175781
2023-08-02,13.691276550292969,1164.81005859375,433.6545715332031,14.260000228881836
2023-08-03,13.578695297241211,1323.1099853515625,432.4118957519531,14.0
2023-08-04,14.158905982971191,1296.1600341796875,430.45611572265625,14.069999694824219
2023-08-07,13.94240951538086,1358.81005859375,434.21337890625,13.949999809265137
2023-08-08,14.487985610961914,1328.3599853515625,432.3251037597656,14.329999923706055
2023-08-09,14.384065628051758,1312.6600341796875,429.4349670410156,14.329999923706055
2023-08-10,14.903657913208008,1387.06005859375,429.589111328125,14.390000343322754
2023-08-11,14.522624015808105,1330.0,429.3385009765625,14.510000228881836
2023-08-14,13.682613372802734,1296.52001953125,431.7085266113281,14.229999542236328
2023-08-15,13.552714347839355,1286.0400390625,426.6796569824219,14.069999694824219
2023-08-16,13.81251049041748,1247.43994140625,423.548583984375,14.630000114440918
2023-08-17,13.266937255859375,1196.56005859375,420.3211669921875,14.739999771118164
2023-08-18,13.137042999267578,1199.5899658203125,420.52349853515625,14.59000015258789
2023-08-21,13.0158052444458,1228.510009765625,423.25958251953125,14.399999618530273
2023-08-22,13.457456588745117,1242.72998046875,422.1130676269531,14.619999885559082
2023-08-23,14.314785957336426,1258.8699951171875,426.8144836425781,15.029999732971191
2023-08-24,13.854427337646484,1215.31005859375,420.89923095703125,14.6899995803833
2023-08-25,14.448437690734863,1237.8399658203125,423.866455078125,14.75
2023-08-28,15.557838439941406,1249.4599609375,426.5543212890625,14.899999618530273
2023-08-29,15.942200660705566,1304.6600341796875,432.7201232910156,14.84000015258789
2023-08-30,15.846107482910156,1343.1300048828125,434.5024719238281,14.609999656677246
2023-08-31,15.793700218200684,1372.3599853515625,433.8665771484375,14.4399995803833
2023-09-01,15.356925010681152,1421.6400146484375,434.67578125,14.210000038146973
2023-09-05,14.684294700622559,1435.050048828125,432.7971496582031,13.649999618530273
2023-09-06,14.474644660949707,1425.969970703125,429.8877258300781,13.470000267028809
