,Máximo Sharpe,Mínima Varianza
GGAL,3.9169740547992484,0.8693867686294692
MELI,1.6455476802966773,0.06521162862998701
SPY,74.32198668318829,93.27943571756155
YPF,20.115491581715787,5.785965885178993
Retorno esperado (%),29.205106142966876,22.794522344785534
Volatilidad (%),19.878508066875654,15.712943546843618
Ratio Sharpe,1.2176520522332763,1.1324754201360354
